BOM ID,Member internalid,Line ID,Item source,Member Quantity,Effective Date,Obsolete Date,Units
422690,291543,1,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422690,344417,2,Stock , 1.00000000 ,14/08/2025,14/08/2025,Test
422690,291544,3,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422690,211438,4,Stock , 0.00100000 ,14/08/2025,14/08/2025,Test
422690,211443,5,Stock , 0.00100000 ,14/08/2025,14/08/2025,Test
422690,211595,6,Stock , 1.00000000 ,14/08/2025,14/08/2025,Test
422690,291546,7,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422690,200902,8,Stock , 0.80357143 ,14/08/2025,14/08/2025,Test
422690,211443,9,Stock , 0.00300000 ,14/08/2025,14/08/2025,Test
422690,291547,10,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422690,200902,11,Stock , 0.01041667 ,14/08/2025,,Test
422690,211443,12,Stock , 0.00300000 ,14/08/2025,14/08/2025,Test
422690,291544,13,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422690,211438,14,Stock , 0.00100000 ,14/08/2025,14/08/2025,Test
422690,211443,15,Stock , 0.00100000 ,14/08/2025,14/08/2025,Test
422690,211595,16,Stock , 1.00000000 ,14/08/2025,14/08/2025,Test
422690,291546,17,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422690,200902,18,Stock , 0.80357143 ,14/08/2025,14/08/2025,Test
422690,211443,19,Stock , 0.07714286 ,14/08/2025,14/08/2025,Test
422690,291547,20,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422690,200902,21,Stock , 0.01041667 ,14/08/2025,,Test
422690,211443,22,Stock , 0.00300000 ,14/08/2025,14/08/2025,Test
422704,291543,1,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422704,344417,2,Stock , 1.00000000 ,14/08/2025,14/08/2025,Test
422704,291544,3,Stock , 1.00000000 ,14/08/2025,14/08/2025,Sales quantity
422704,211438,4,Stock , 0.02571429 ,14/08/2025,14/08/2025,Test
422704,211443,5,Stock , 0.02571429 ,14/08/2025,14/08/2025,Test
