Internalid,Lab processing,Airtable technique,Sample type,Container name
205985,Diag,Electrophoresis (HPLC),Cord Blood,EDTA Tube
206199,Diag,Molecular,Cervical Sample,Specialized Container
206297,Diag,Molecular,"Serum,Plasma","Serum Tube,EDTA Tube"
3997,Diag,Biochemistry,Serum,Serum Tube
10994,Diag,Non-lab Test,Others,Others
8471,Diag,Biochemistry,Urine,50mL Container
7666,Cerba,Other,Plasma,Heparin Tube
401636,Diag,Non-lab Test,,
9880,Cerba,Other,Serum,Serum Tube
7385,Cerba,Other,Cerebrospinal Fluid,Sterile Container
4504,Cerba,Other,Cerebrospinal Fluid,Sterile Container
5073,Cerba,Other,24h Urine,3L Container
5184,Cerba,Other,Whole Blood,Heparin Tube
5169,Cerba,Other,Serum,Serum Tube
8096,SNIOSH,Non-lab Test,,50mL Container
5189,Cerba,Other,Serum,Serum Tube
6225,Cerba,Other,Serum,Serum Tube
7256,Cerba,Other,Cerebrospinal Fluid,Sterile Container
6878,Cerba,Other,Serum,Serum Tube
6591,Cerba,Other,Whole Blood,EDTA Tube
182730,Diag,Home Collection,,
4367,Medic,Other,Serum,Serum Tube
9333,Cerba,Other,Serum,Serum Tube
9491,Cerba,Other,Serum,Serum Tube
6693,Cerba,Other,Serum,Serum Tube
9703,Cerba,Other,Serum,Serum Tube
8386,Cerba,Other,Bone Marrow,EDTA Tube
1538,Diag,Biochemistry,24h Urine,3L Container
400019,Cerba,Other,Whole Blood,EDTA Tube
5876,Cerba,Other,Serum,Serum Tube
9181,Cerba,Other,Puncture Fluid,Sterile Container
3866,Diag,Microbiology,Urethral Swab,Sterile Swab
7360,Cerba,Other,Serum,Serum Tube
6674,Cerba,Other,Serum,Serum Tube
7314,Cerba,Other,Plasma,EDTA Tube
9030,Cerba,Other,Serum,Serum Tube
7790,Cerba,Other,Cerebrospinal Fluid,Sterile Container
4701,Cerba,Other,Serum,Serum Tube
4787,Cerba,Other,Serum,Serum Tube
7571,Cerba,Other,Serum,Serum Tube
7354,Cerba,Other,Sputum,Sterile Container
9977,Diag,Microbiology,"Pus,Pus Abscess,Semen,Body Fluid",Sterile Swab/50mL Container
26609,Diag,Non-lab Test,,
8693,Cerba,Other,Serum,Serum Tube
6068,Cerba,Other,Serum,Serum Tube
8691,Cerba,Other,Plasma,EDTA Tube
8487,Cerba,Other,Serum,Serum Tube
4834,Medic,Biochemistry,Cerebrospinal Fluid,Sterile Container
4515,Cerba,Other,Serum,Serum Tube
3874,Diag,Microbiology,Throat Swab,Sterile Swab
8798,Cerba,Other,Serum,Serum Tube
9273,Cerba,Other,Whole Blood,Heparin Tube
8281,Cerba,Other,Serum,Serum Tube
4720,Cerba,Other,Serum,Serum Tube
4552,Cerba,Other,Serum,Serum Tube
1511,Diag,Biochemistry,24h Urine,3L Container
11012,Diag,Non-lab Test,,Others
8885,Cerba,Other,Serum,Serum Tube
25310,Diag,Non-lab Test,,Others
9367,Cerba,Other,Plasma,EDTA Tube
9480,Cerba,Other,Serum,Serum Tube
4916,Cerba,Other,Night Urine,50mL Container
7208,Cerba,Other,Cerebrospinal Fluid,Sterile Container
7681,Cerba,Other,Serum,Serum Tube
7172,Cerba,Other,Serum,Serum Tube
205583,Diag,Molecular,Nasopharynx Sample,ABT VTM  2mL
4561,Cerba,Immunology,Serum,Serum Tube
7989,Cerba,Other,Cerebrospinal Fluid,Sterile Container
7313,Medic,Other,Whole Blood,EDTA Tube
5056,Cerba,Other,Serum,Serum Tube
5040,Cerba,Other,Serum,Serum Tube
7664,Cerba,Other,Serum,Serum Tube
7290,Cerba,Other,Serum,Serum Tube
8978,Cerba,Other,Cerebrospinal Fluid,Sterile Container
10976,Diag,Non-lab Test,Others,Others
4950,Cerba,Other,Whole Blood,EDTA Tube
4468,Cerba,Other,Whole Blood,EDTA Tube
4291,Diag,Microbiology,Nose Pus,50mL Sterile Container/Swab
11024,Diag,Non-lab Test,,Others
5003,Cerba,Other,Whole Blood,EDTA Tube
5023,Cerba,Other,Lymph Node,Sterile Container
4089,Diag,Microbiology,"Sputum,Bronchoalveolar Lavage Fluid,Bronchial Secretions,Throat Swab",Sterile Container
34241,Diag,Microbiology,Peritoneal Fluid,Sterile Container
398428,Diag,Immunology,Others,Others
4644,Cerba,Other,Serum,Serum Tube
6988,Cerba,Other,Serum,Serum Tube
4234,Diag,Molecular,Others,Cell VTM (Thinprep)
6080,Cerba,Other,Serum,Serum Tube
4782,Cerba,Other,Serum,Serum Tube
7908,Cerba,Other,Serum,Serum Tube
7770,Cerba,Other,Cerebrospinal Fluid,Sterile Container
7233,Cerba,Other,Serum,Serum Tube
9281,Cerba,Other,Serum,Serum Tube
10988,Diag,Non-lab Test,,Others
6994,Cerba,Other,Serum,Serum Tube
10901,Diag,Home Collection,,Others
34238,Diag,Microbiology,Peritoneal Fluid,Sterile Container
4947,Cerba,Molecular,Whole Blood,EDTA Tube
9275,Cerba,Other,Whole Blood,EDTA Tube
10919,Diag,Non-lab Test,Others,Others
11018,Diag,Non-lab Test,Others,Others
131427,Diag,Non-lab Test,,Others
7086,Cerba,Other,Serum,Serum Tube
92698,Diag,Non-lab Test,,
8785,Cerba,Other,Whole Blood,EDTA Tube
3771,Diag,Microbiology,Throat Swab,Sterile Swab
4694,Cerba,Other,Serum,Serum Tube
10891,SNIOSH,Non-lab Test,,
3871,Diag,Microbiology,Urethral Swab,Sterile Swab
7476,Cerba,Other,Whole Blood,EDTA Tube
6970,Cerba,Other,Cerebrospinal Fluid,Sterile Container
9378,Cerba,Other,Serum,Serum Tube
4794,Cerba,Other,Serum,Serum Tube
4731,Cerba,Other,Serum,Serum Tube
8490,Cerba,Other,Plasma,EDTA Tube
7232,Cerba,Biochemistry,Serum,Serum Tube
9075,Cerba,Other,Serum,Serum Tube
4494,Cerba,Other,Serum,Serum Tube
9688,Cerba,Other,Serum,Serum Tube
7785,Cerba,Other,Serum,Serum Tube
3900,Diag,Microbiology,Urethral Swab,Sterile Swab
9673,Cerba,Other,Serum,Serum Tube
4620,Cerba,Other,Whole Blood,EDTA Tube
8989,Cerba,Other,Seminal Fluid,Sterile Container
4437,Cerba,Other,Whole Blood,EDTA Tube
4877,Cerba,Other,Plasma,Heparin Tube
8274,Cerba,Other,Serum,Serum Tube
8901,Cerba,Other,Sputum,Sterile Container
8683,Cerba,Other,Serum,Serum Tube
6589,Cerba,Other,Whole Blood,Heparin Tube
8088,Cerba,Other,Serum,Serum Tube
9180,Cerba,Other,Serum,Serum Tube
7667,Cerba,Other,Serum,Serum Tube
5173,Cerba,Other,Urine,50mL Container
